Customer,Consumption Category,Generator Capacity,Postcode,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
7,GG,2.16,2259.0,6.575342465753425e-05,6.575342465753425e-05,0.00011506849315068494,8.219178082191781e-05,0.00014794520547945205,8.219178082191781e-05,4.931506849315069e-05,6.575342465753425e-05,4.931506849315069e-05,0.00011506849315068494,0.0001315068493150685,3.287671232876713e-05,0.0011095890410958904,0.008361643835616439,0.042128767123287676,0.15186301369863014,0.24944657534246575,0.3493150684931507,0.4394109589041096,0.5011561643835616,0.5519260273972603,0.5855835616438356,0.601986301369863,0.6046164383561644,0.6039753424657535,0.6045205479452055,0.5854136986301369,0.5477479452054794,0.5002383561643835,0.4529095890410959,0.39112054794520545,0.3256164383561644,0.24505479452054796,0.16137260273972603,0.09346301369863012,0.04147945205479452,0.017295890410958904,0.006446575342465752,0.00156986301369863,8.219178082191781e-05,8.219178082191781e-05,8.219178082191781e-05,3.287671232876713e-05,0.00011506849315068494,0.0001315068493150685,4.931506849315069e-05,1.6438356164383563e-05,8.219178082191781e-05
8,CL,1.02,2126.0,1.0150438356164384,0.4634219178082192,0.16143287671232878,0.036460273972602736,0.014334246575342467,0.02697260273972603,0.0759068493150685,0.09728767123287671,0.15734794520547946,0.16109315068493152,0.08201917808219178,0.0767041095890411,0.1276,0.4262082191780822,0.41404109589041094,0.18556986301369865,0.07502191780821918,0.14558630136986303,0.21734520547945207,0.26680000000000004,0.28655616438356163,0.24274246575342465,0.18984657534246574,0.1281780821917808,0.12111780821917807,0.12048219178082191,0.11478082191780822,0.13103287671232877,0.11478356164383562,0.08135890410958904,0.09094520547945205,0.09918630136986302,0.1324849315068493,0.17375342465753424,0.13153424657534246,0.15036986301369862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09475890410958905,0.9249369863013698,0.9275260273972603,1.5976794520547946
8,GC,1.02,2126.0,0.16019452054794522,0.1393945205479452,0.13893424657534245,0.13083287671232877,0.1386191780821918,0.13741917808219178,0.1401890410958904,0.13804109589041094,0.13453698630136987,0.12923013698630137,0.12796438356164383,0.13073698630136987,0.1755972602739726,0.3152712328767123,0.5176438356164383,0.4959917808219178,0.3753780821917808,0.5866219178082192,0.7904301369863014,0.819345205479452,0.8111863013698631,0.7127780821917807,0.4863232876712329,0.3691863013698631,0.3733287671232876,0.39818904109589043,0.4046986301369863,0.4109287671232877,0.3868493150684931,0.37354246575342465,0.37784657534246574,0.4030904109589041,0.4864219178082192,0.6379643835616439,0.922323287671233,1.1441616438356164,1.3180657534246576,1.2745616438356164,1.081227397260274,0.9153424657534247,0.8623561643835617,0.8349068493150684,0.7498602739726028,0.6357616438356164,0.4757013698630137,0.3574438356164384,0.24513424657534247,0.18535616438356164
8,GG,1.02,2126.0,6.575342465753425e-05,0.00011506849315068494,9.863013698630138e-05,0.00011506849315068494,0.00011506849315068494,1.6438356164383563e-05,0.0,6.575342465753425e-05,4.931506849315069e-05,6.575342465753425e-05,6.575342465753425e-05,0.0009753424657534246,0.010416438356164385,0.03580821917808219,0.07564931506849315,0.11603287671232876,0.1525753424657534,0.17972602739726026,0.20036712328767123,0.21446027397260276,0.22466575342465753,0.23252876712328768,0.22416712328767122,0.21975890410958904,0.20787123287671233,0.19790958904109587,0.18275068493150684,0.16277808219178083,0.13812328767123289,0.11469041095890412,0.08891506849315069,0.06962465753424657,0.049320547945205476,0.03242465753424657,0.01963835616438356,0.012410958904109589,0.00796986301369863,0.004742465753424657,0.0016109589041095889,0.00018356164383561644,6.575342465753425e-05,0.00014794520547945205,9.863013698630138e-05,4.931506849315069e-05,8.219178082191781e-05,0.0,6.575342465753425e-05,3.287671232876713e-05
9,CL,1.02,2259.0,0.7048739726027398,0.3504164383561644,0.14997534246575342,0.10853150684931506,0.1130986301369863,0.15775616438356166,0.17296164383561644,0.09682465753424657,0.05774520547945206,0.035161643835616437,0.038715068493150685,0.052090410958904106,0.08746575342465754,0.35345753424657533,0.09277808219178081,0.02973698630136986,0.019172602739726027,0.038038356164383565,0.0697041095890411,0.018254794520547946,0.021654794520547947,0.01644931506849315,0.02004931506849315,0.014794520547945207,0.01740821917808219,0.01387945205479452,0.015213698630136985,0.01026027397260274,0.0395013698630137,0.04455890410958904,0.02090958904109589,0.004273972602739726,0.021967123287671236,0.026265753424657534,0.05807397260273972,0.08260547945205479,0.11084931506849316,0.08418904109589041,0.033791780821917805,0.021145205479452055,0.009986301369863013,0.024487671232876713,0.016980821917808222,0.012120547945205479,0.003964383561643836,0.01135890410958904,1.2116931506849316,0.9981424657534247
9,GC,1.02,2259.0,0.048643835616438355,0.047742465753424654,0.04332876712328767,0.04182191780821918,0.03743561643835616,0.034890410958904106,0.033326027397260274,0.03383013698630137,0.03523013698630137,0.03325479452054794,0.036676712328767125,0.03763561643835617,0.044682191780821924,0.0511945205479452,0.058389041095890416,0.05436438356164384,0.06760547945205479,0.07976712328767123,0.08151232876712329,0.09145479452054794,0.08625479452054795,0.09306575342465753,0.10319726027397261,0.0785068493150685,0.07626301369863013,0.07471506849315068,0.06867123287671233,0.07385479452054795,0.07909041095890411,0.08442465753424658,0.0785945205479452,0.07798904109589042,0.08014794520547945,0.10714520547945204,0.11901643835616439,0.37978356164383564,0.5077890410958904,0.40515342465753423,0.3993342465753425,0.3738712328767123,0.3807369863013699,0.3687643835616438,0.29806027397260276,0.1818712328767123,0.12336986301369864,0.09807123287671232,0.07246027397260274,0.06308493150684931
9,GG,1.02,2259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6438356164383563e-05,0.0010356164383561644,0.008353424657534246,0.030660273972602743,0.07112328767123288,0.11488219178082193,0.15694246575342466,0.1944054794520548,0.22247123287671233,0.24564657534246576,0.2645095890410959,0.2721013698630137,0.27964657534246573,0.28346301369863014,0.2819506849315069,0.2750082191780822,0.2616986301369863,0.2419945205479452,0.2147890410958904,0.1841808219178082,0.14754246575342467,0.1093095890410959,0.07462465753424657,0.04914520547945205,0.030145205479452056,0.013421917808219178,0.0037917808219178084,0.0006191780821917808,3.287671232876713e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,CL,1.05,2262.0,0.20947123287671232,0.07913424657534247,0.055852054794520545,0.42535342465753423,0.3452465753424658,0.14968219178082193,0.048441095890410964,0.031493150684931505,0.010945205479452056,0.020904109589041094,0.08844109589041095,0.11446575342465753,0.19190684931506852,0.13376438356164383,0.002789041095890411,0.009610958904109589,0.017378082191780823,0.00807945205479452,0.009238356164383562,0.0029726027397260274,0.01036986301369863,0.01214246575342466,0.003567123287671233,0.0007726027397260274,0.010136986301369864,0.00796986301369863,0.004772602739726028,0.006838356164383562,0.0046547945205479445,0.0058191780821917815,0.01067945205479452,0.008895890410958904,0.005575342465753425,0.011052054794520547,0.017235616438356166,0.010178082191780822,0.00910958904109589,0.010405479452054795,0.006904109589041096,0.0028438356164383564,0.0026136986301369862,0.00603013698630137,0.006884931506849315,0.004753424657534246,0.0036904109589041096,0.016531506849315068,2.4033095890410956,1.0363671232876712
10,GC,1.05,2262.0,0.0652958904109589,0.06341369863013699,0.06242739726027398,0.060868493150684926,0.06159178082191781,0.05976164383561643,0.05959178082191781,0.05704109589041096,0.05935068493150685,0.06068219178082192,0.06558356164383561,0.07169863013698631,0.08877808219178084,0.12414520547945206,0.15559178082191782,0.13861369863013698,0.12608219178082192,0.1125041095890411,0.11299452054794522,0.10921917808219178,0.12232876712328766,0.13441643835616437,0.12160821917808219,0.11624383561643836,0.12290410958904109,0.1378082191780822,0.14804931506849314,0.14440547945205479,0.156227397260274,0.1781178082191781,0.19579452054794522,0.22987123287671235,0.28521917808219177,0.3654821917808219,0.4533479452054795,0.4917424657534246,0.5150849315068493,0.4400904109589041,0.3546712328767124,0.30755342465753427,0.26053424657534247,0.2039945205479452,0.16539726027397259,0.13268493150684932,0.10154246575342467,0.08892876712328768,0.07604383561643836,0.0695123287671233
10,GG,1.05,2262.0,0.0002465753424657534,0.0003945205479452055,0.0001315068493150685,0.0002136986301369863,0.0003123287671232877,0.00016438356164383562,0.0001808219178082192,0.0002136986301369863,0.00014794520547945205,0.00011506849315068494,0.00014794520547945205,0.00032876712328767124,0.0007232876712328768,0.0037287671232876713,0.00986849315068493,0.01604109589041096,0.022602739726027398,0.05612876712328767,0.09972602739726028,0.14057534246575343,0.16262191780821916,0.19540547945205478,0.254386301369863,0.27887671232876715,0.2809013698630137,0.28146301369863014,0.2738054794520548,0.26336712328767126,0.2415835616438356,0.20573698630136986,0.16413424657534245,0.12046575342465753,0.09508219178082192,0.06904109589041095,0.04733424657534247,0.028243835616438354,0.011191780821917808,0.003687671232876712,0.0012712328767123288,0.0003452054794520548,0.00019726027397260276,0.0002958904109589041,0.0003616438356164384,0.0003945205479452055,0.00023013698630136987,0.0003452054794520548,0.0003123287671232877,0.0003452054794520548
